product_id,product_name,price,
800,Chips Jalapeno 170g BAR,26.45,
1078,Cajeta 50pct Menos Azucar 370g COR,28.17,
1940,Spirrones 100g BAR,10.92,
2530,Chips Sal 170g BAR,26.45,
4624,Cajeta Espreable Envinada 660g COR,40.95,
4625,Cajeta Vainilla 660g COR,43.05,
4919,Cajeta Espreable Quemada 660g COR,43.05,
124823,Chips Jalapeño 120g,15.56,
6012,Chips Sal 100g BAR,15.56,
6444,Karameladas 260g CB2 BAR,16.33,
7557,Dulcigomas 112g RIC,9.47,
7829,Bubulubu 35g RIC,4.33,
7840,Paleta Payaso 45g RIC,5.78,
7947,Lunetas Sobre 227g Auto RIC,11.8,
8362,Cajeta Envinada 370g COR,25.64,
8364,Cajeta Vainilla 370g COR,25.64,
8365,Cajeta Quemada 370g COR,28.46,
8769,Chocoretas Vertical 65g RIC,8.68,
8773,Kranky Vertical 70g RIC,8.68,
8775,Dulcigomas Vertical 70g RIC,8.68,
8779,Panditas Rojos Vertical 70g RIC,8.68,
8785,Panditas Acidos Vertical 70g RIC,8.68,
8786,Panditas Vertical 70g RIC,8.68,
8790,Tira Paleta 20p 5.5g COR,13.89,
8804,Tira Paleton 10p 14g COR,9.41,
8809,Paleta Agrimiel 20p 5g COR,5.17,
8827,Pack Cajeta Yopi Doy 250g YOP,12.2,
8830,Cubeta Cajeta Quemada 24Kg COR,758.2,
9488,Toreadas Habanero 170g BAR,26.46,
9745,Big Mix Queso 200g BAR,16.79,
9840,Chips Jalapeno 350g BAR,31.93,
9841,Chips Sal 350g BAR,34.48,
30244,Pasitas 90g RIC,10.84,
30245,Almendras 82g RIC,10.84,
30246,Kranky 80g RIC,8.67,
30248,Mini Paleta Payaso 4p 25g RIC,11.56,
30269,Duvalin Avellana Vainilla 6p 15g RIC,8.67,
30301,Spirrones 100g BAR,16.8,
31088,Chips Fuego 55g BAR,7.36,
31090,Chips Fuego 170g BAR,26.45,
31237,Bolsa Chocoretas 125g RIC,10.84,
31246,Bolsa Bubulubu Twin Pack 70g RIC,6.14,
31560,Chips Diabla 60g BAR,6.23,
31561,Chips Jalapeno 60g BAR,6.69,
31562,Chips Sal 60g BAR,6.69,
31808,Takis Fuego 90g BAR,9.33,
31809,Takis Original 90g BAR,7.78,
31910,Cajilla Dulcigomas 12p 45g RIC,5.14,
31911,Cajilla Panditas 12p 45g RIC,5.58,
32097,Bolsa Bubulubu 15p 20g RIC,19.13,
33500,Paleta Elote Chile 10p 16g VER,10.92,
33510,Paleta Mango Chile 10p 16g VER,10.92,
33563,Pica Goma Fresa 30p 180g VER,10.92,
33969,Rellerindo 13p 11g VER,10.11,
34285,Chips Jalapeno 245g BAR,21.25,
34286,Chips Sal de Sal 245g BAR,21.25,
34287,Chips Fuego 245g BAR,21.25,
34602,Chocoretas Horizontal 44G Ric,5.16,
35549,Chicharron de Cerdo 90g BAR,17.11,
37144,Chips Fuego 350g BAR,46.46,
37226,Bolsa Bocadin 158g RIC,14.74,
37782,Cajilla Paleton 18p 20g LC,1.95,
37783,Bolsa 5 Paletones de 20g LC,15.39,
38310,Paleta Payaso As Prom 47g RICC,6.16,
38319,Paquete Paletas Mix Dulce 20p 320g VER,17.24,
38320,Paquete Paletas Mix Picoso 20p 310g VER,17.24,
124822,Chips Fuego 120g,15.56,
38579,Golden Nuts Surtido Selecto 190g BAR,16,
38582,Golden Nuts Enchilados 100g BAR,11.67,
38585,Golden Nuts Salados 100g BAR,11.67,
38612,Hot Nuts Original 100g BAR,11.67,
40263,Moritas 112g RIC,9.47,
41998,Gomilocas Dientes Horizontal 60g RIC,5.21,
42001,Kranky Horizontal 40g RIC,4.77,
42124,Takis Original 190g BAR,11.9,
42126,Runners 200g BAR,11.9,
42158,Toreadas Habanero 40g BAR,7.78,
42458,Takis Fuego 190g BAR,12.64,
45250,Panditas 115g RIC,9.39,
45973,Karameladas Pop 119g BAR,9.33,
48205,Valentones SP 175g BAR,17.11,
49703,Gomita Manita Horizontal 70g VER,8.68,
49728,Gomita Tarrito Horizontal 70g VER,8.68,
122897,Chips Chipotle Limon CA 100g BAR,13.1,
122898,Chips Chipotle Limon CA 170g BAR,19.45,
123165,Papatinas Chilix PC 250g BAR,30.97,
123236,Snaps Esquites PC 110g CB3 BAR,23.15,
123238,Snaps Cheddar Blanco PC 140g CB3 BAR,23.15,
123240,Snaps Chile y Especias PC 140g CB3 BAR,23.15,
123242,Snaps Pimienta Sal/Mar PC 110g CB3 BAR,23.15,
123254,Takis Fuego 280g PC BAR,27.1,
123256,Takis Fajitas PC 280g BAR,27.1,
123258,Runners 280g PC BAR,27.1,
123308,Golden Nuts Salado PC 150g BAR,19.36,
123310,Golden Nuts Enchilado PC 150g BAR,19.36,
123316,Hot Nuts PC 200g BAR,23.39,
123341,Cajeta Quemada 400g CU COR,42.61,
123417,Chips Queso PC 170g CB2 BAR,29.61,
123418,Chips Queso PC 100g CU BAR,17.89,
123460,Takis Fuego 280g CU BAR,23.46,
123536,Panditas Enchilados 70g,10.11,
123656,Chiclosos PC 93g Bolsa CU COR,14.4,
123657,Oblea PC 72g Bolsa CU COR,14.4,
123658,Paleta PC 82.5g Bolsa CU COR,14.4,
123693,Chips Queso Pc 55g CB2 BAR,10.73,
123743,Takis Cobra Pc 280g Bolsa CU BAR,27.1,
123745,Takis Cobra Pc 190g Bolsa CU BAR,19.44,
123852,Karameladas Cuexh 260g Bolsa CU BAR,16.33,
124235,Big Mix Clasico Nvo 200g CB2 BAR,17.12,
124237,Big Mix Fuego NVO 200g CB2 BAR,8.03,
124239,Takis Fuego 56g CT1,7.78,
124357,Takis Cobra 56g CT1,7.78,
124358,Takis Fajitas 56g CT1,7.78,
124359,Takis Huakamole 56g CT1,7.78,
124440,Golden Nuts Japones Nvo PC 100g C3H BAR,11.67,
124442,Golden Nuts Japones Nvo PC 190g C3H BAR,16,
124447,Kiyakis PC 150g C3H BAR,11.2,
800,Chips Jalapeño 170g BAR_800,26.45,
1078,Cajeta 50pct Menos Azucar 370g COR_1078,28.17,
1940,huevito pinto chocolate 200g  lc_1940,10.92,
2530,Chips Sal 170g BAR_2530,26.45,
4624,Cajeta Espreable Envinada 660g COR_4624,40.95,
4625,Cajeta Espreable Vainilla 660g COR_4625,43.05,
4919,Cajeta Espreable Quemada 660g COR_4919,43.05,
124823,Chips Jalapeño 120g,15.56,
6012,chips sal 100g bar_6012,15.56,
6420,Tortilla Nachos 3pq 1Kg BAR_6420,94.32,
6444,Karameladas 260g BAR_6444,16.33,
6476,Tostachos Queso CB1 70g BAR_6476,6.22,
6490,Chipotles 52g BAR_6490,6.22,
6820,golden nuts semilla 20g bar_6820,6.22,
7557,Dulcigomas 112g RIC_7557,9.47,
7761,bubulubu 20g ric_7761,1.26,
7762,Kranky 15g RIC_7762,1.44,
7766,Panditas 15g RIC_7766,1.94,
7780,Dulcigomas Granel Bs 1Kg RIC_7780,45,
7796,Golden Nuts Semillas 60g_7796,14.2,
7829,Bubulubu 1p 35g RIC_7829,4.33,
7840,Paleta Payaso 1p 45g RIC_7840,5.78,
7978,Rellerindo Conv 65p 11g VER_7978,0.72,
8362,Cajeta Espreable Envinada 370g COR_8362,25.64,
8364,Cajeta Espreable Vainilla 370g COR_8364,25.64,
8365,Cajeta Espreable Quemada 370g COR_8365,28.46,
8769,Chocoretas Vertical 65g RIC_8769,8.68,
